"from_country","to_country","move_year","n_moves","n_unique_movers"
"Russia","United Kingdom",2017,1,1
"Malaysia","Sri Lanka",2022,1,1
"Canada","New Zealand",2023,1,1
"Brazil","Ivory Coast",2022,1,1
"Netherlands","South Africa",2004,1,1
"Canada","United Arab Emirates",2020,1,1
"Germany","Ireland",2016,1,1
"United Kingdom","Morocco",2020,1,1
"India","Japan",2014,1,1
"Sweden","United Kingdom",2019,1,1
"Finland","Nepal",2023,1,1
"Croatia","Germany",2021,1,1
"South Korea","United Kingdom",2014,1,1
"United Kingdom","Thailand",2007,1,1
"Netherlands","Oman",2012,1,1
"Finland","Canada",2024,1,1
"France","Sweden",2017,1,1
"Pakistan","New Zealand",2021,1,1
"Finland","Denmark",2022,1,1
"United Kingdom","Luxembourg",2017,1,1
"Netherlands","Saudi Arabia",2016,1,1
"Greece","Ireland",2022,1,1
"Somalia","Vietnam",2023,1,1
"Australia","Bulgaria",2021,1,1
"Norway","Netherlands",2012,1,1
"Uganda","Netherlands",2020,1,1
"Japan","Colombia",2012,1,1
"Canada","Ireland",2024,1,1
"Uruguay","France",2013,1,1
"Belgium","Austria",2020,1,1
"Ireland","Czech Republic",2017,1,1
"Germany","Denmark",2020,1,1
"Ukraine","Lithuania",2023,1,1
"Portugal","United Kingdom",2018,1,1
"United Kingdom","Taiwan",2022,1,1
"Belarus","Sweden",2020,1,1
"Saudi Arabia","Sri Lanka",2024,1,1
"Netherlands","Singapore",2022,1,1
"United Kingdom","Senegal",2021,1,1
"United Kingdom","Austria",2019,1,1
"Spain","Germany",2014,1,1
"Germany","Thailand",2016,1,1
"Mexico","Colombia",2010,1,1
"Netherlands","Myanmar",2017,1,1
"France","New Zealand",2016,1,1
"Georgia","Armenia",2020,1,1
"Argentina","Uruguay",2019,1,1
"Chad","United States",2022,1,1
"Greece","Sweden",2018,1,1
"Belarus","Switzerland",2017,1,1
"Canada","Italy",2019,1,1
"Spain","Turkey",2020,1,1
"Russia","Indonesia",2023,1,1
"Malaysia","Netherlands",2008,1,1
"France","Belgium",2013,1,1
"Malaysia","Pakistan",2021,1,1
"Netherlands","Hong Kong",2022,1,1
"Israel","France",2015,1,1
"Ireland","Netherlands",2011,1,1
"Germany","Turkey",2014,1,1
"Norway","Canada",2021,1,1
"Canada","Sri Lanka",2023,1,1
"Tunisia","China",2020,1,1
"Belarus","France",2022,1,1
"Greece","Austria",2017,1,1
"Latvia","Sweden",2017,1,1
"Canada","Vietnam",2021,1,1
"United States","Jamaica",2021,1,1
"Cuba","France",2021,1,1
"Netherlands","Sweden",2017,1,1
"Poland","Hungary",2010,1,1
"Bangladesh","Benin",2023,1,1
"Algeria","Germany",2023,1,1
"Vietnam","Japan",2012,1,1
"United Kingdom","Australia",2010,1,1
"Germany","Jordan",2017,1,1
"Philippines","Argentina",2024,1,1
"New Zealand","Switzerland",2023,1,1
"Vietnam","Poland",2024,1,1
"Israel","Denmark",2019,1,1
"Singapore","Japan",2018,1,1
"Canada","Benin",2022,1,1
"Netherlands","Belgium",1999,1,1
"Georgia","Cyprus",2023,1,1
"Finland","China",2020,1,1
"Poland","Netherlands",2015,1,1
"United Arab Emirates","China",2023,1,1
"Germany","United States",2006,1,1
"Belarus","Netherlands",2018,1,1
"Mexico","Nicaragua",2022,1,1
"Netherlands","Hungary",2021,1,1
"United Kingdom","Poland",2011,1,1
"Israel","United States",2008,1,1
"Israel","Ukraine",2020,1,1
"Mexico","India",2019,1,1
"Argentina","Australia",2021,1,1
"Netherlands","Switzerland",2007,1,1
"Canada","Mexico",2020,1,1
"United Kingdom","United Arab Emirates",2012,1,1
"Portugal","Sweden",2020,1,1
"Morocco","United Kingdom",2011,1,1
"United Kingdom","Peru",2022,1,1
"Bermuda","United Kingdom",2005,1,1
"Slovenia","Switzerland",2020,1,1
"Luxembourg","Japan",2023,1,1
"Greece","Hong Kong",2020,1,1
"United States","Uzbekistan",2024,1,1
"United States","Nicaragua",2008,1,1
"Bulgaria","France",2017,1,1
"Georgia","Poland",2022,1,1
"Nepal","New Zealand",2019,1,1
"Canada","Spain",2021,1,1
"Cyprus","Russia",2022,1,1
"United Kingdom","China",2010,1,1
"Qatar","Netherlands",2021,1,1
"Mexico","United States",2014,1,1
"Belarus","France",2019,1,1
"Jersey","United States",2020,1,1
"France","Netherlands",2006,1,1
"Somalia","Italy",2023,1,1
"Netherlands","Bahrain",2008,1,1
"Moldova","France",2022,1,1
"Armenia","Poland",2022,1,1
"Canada","China",2007,1,1
"Uganda","Rwanda",2022,1,1
"Israel","Portugal",2016,1,1
"Sweden","United Arab Emirates",2020,1,1
"Denmark","France",2024,1,1
"Belarus","Turkey",2021,1,1
"Finland","Luxembourg",2021,1,1
"Germany","Chile",2022,1,1
"France","Hong Kong",2022,1,1
"Malta","Russia",2024,1,1
"Ukraine","Portugal",2021,1,1
"Austria","Pakistan",2023,1,1
"Belgium","Thailand",2024,1,1
"India","United Kingdom",2012,1,1
"Germany","United Kingdom",2010,1,1
"Kenya","Bulgaria",2022,1,1
"Pakistan","Poland",2020,1,1
"South Korea","Thailand",2023,1,1
"Russia","Sweden",2023,1,1
"South Korea","Indonesia",2021,1,1
"Turkey","United States",2015,1,1
"Egypt","Estonia",2021,1,1
"Belarus","Ukraine",2019,1,1
"Sweden","Ukraine",2019,1,1
"France","Indonesia",2023,1,1
"Ukraine","France",2024,1,1
"Iran","Turkey",2018,1,1
"United States","Trinidad and Tobago",2017,1,1
"Netherlands","Austria",2024,1,1
"United States","Cyprus",2023,1,1
"Belgium","United Arab Emirates",2022,1,1
"United Kingdom","Iran",2023,1,1
"Brazil","Switzerland",2024,1,1
"Austria","Germany",1995,1,1
"South Korea","Japan",2021,1,1
"Netherlands","Chile",2021,1,1
"Turkey","Czech Republic",2021,1,1
"Syria","Equatorial Guinea",2022,1,1
"Slovakia","United States",2019,1,1
"Indonesia","Japan",2021,1,1
"United Kingdom","Hungary",2024,1,1
"New Zealand","United Kingdom",2019,1,1
"Saudi Arabia","Canada",2021,1,1
"Armenia","Switzerland",2020,1,1
"Australia","Estonia",2024,1,1
"Spain","Luxembourg",2023,1,1
"United Arab Emirates","Malaysia",2008,1,1
"Germany","Jordan",2019,1,1
"Barbados","New Zealand",2022,1,1
"Switzerland","Cyprus",2022,1,1
"Turkey","Singapore",2024,1,1
"Greece","Germany",2022,1,1
"Belarus","Netherlands",2023,1,1
"Australia","Sweden",2024,1,1
"Nigeria","Malaysia",2021,1,1
"Egypt","Syria",2024,1,1
"Palestine","Saudi Arabia",2021,1,1
"Switzerland","United Kingdom",2012,1,1
"Ireland","United Arab Emirates",2021,1,1
"Brazil","Japan",2017,1,1
"Syria","Netherlands",2024,1,1
"Italy","Iran",2018,1,1
"Senegal","Guinea",2013,1,1
"United Kingdom","India",2012,1,1
"Norway","Germany",2017,1,1
"French Polynesia","France",2019,1,1
"Chile","Bolivia",2018,1,1
"Switzerland","Finland",2024,1,1
"Japan","Singapore",2009,1,1
"Chad","Netherlands",2013,1,1
"Greece","Ireland",2019,1,1
"United States","Trinidad and Tobago",2022,1,1
"United States","Iran",2017,1,1
"Egypt","Netherlands",2017,1,1
"Italy","United States",2013,1,1
"New Zealand","Norway",2018,1,1
"Nicaragua","Spain",2022,1,1
"Canada","France",2014,1,1
"Taiwan","Italy",2024,1,1
"Serbia","Italy",2023,1,1
"Netherlands","Peru",2023,1,1
"Germany","Austria",2016,1,1
"Czech Republic","Australia",2022,1,1
"Taiwan","Turkey",2020,1,1
"Iraq","Germany",2022,1,1
"Italy","Pakistan",2020,1,1
"Iran","Spain",2015,1,1
"United States","Serbia",2019,1,1
"South Korea","Italy",2024,1,1
"Jamaica","Barbados",2022,1,1
"France","Egypt",2023,1,1
"France","United Arab Emirates",2018,1,1
"France","Lebanon",2018,1,1
"Saudi Arabia","Singapore",2014,1,1
"Niger","Pakistan",2022,1,1
"China","Ireland",2022,1,1
"Germany","Ghana",2023,1,1
"Russia","Azerbaijan",2020,1,1
"United Arab Emirates","Turkey",2021,1,1
"Turkey","Ireland",2023,1,1
"Iran","France",2022,1,1
"United States","Tunisia",2020,1,1
"Poland","Ecuador",2023,1,1
"Ecuador","Poland",2024,1,1
"Hungary","Israel",1990,1,1
"France","Israel",2015,1,1
"Argentina","Germany",2017,1,1
"Mexico","Hungary",2023,1,1
"France","South Korea",2008,1,1
"Switzerland","Sweden",2011,1,1
"Indonesia","Hong Kong",2023,1,1
"Greenland","Denmark",2024,1,1
"Belgium","South Africa",2016,1,1
"Syria","Hungary",2022,1,1
"Belgium","United Arab Emirates",2017,1,1
"Rwanda","Nigeria",2023,1,1
"Mali","Canada",2024,1,1
"Uganda","United States",2023,1,1
"Indonesia","France",2024,1,1
"United Kingdom","Luxembourg",2022,1,1
"Netherlands","Vietnam",2022,1,1
"Bolivia","Costa Rica",2024,1,1
"Slovenia","Spain",2021,1,1
"France","Turkey",2020,1,1
"Spain","Sweden",2020,1,1
"Kazakhstan","Luxembourg",2024,1,1
"Mexico","Czech Republic",2021,1,1
"Portugal","Poland",2020,1,1
"Tunisia","Luxembourg",2017,1,1
"Benin","Bulgaria",2021,1,1
"Japan","Canada",2014,1,1
"United States","Japan",2013,1,1
"France","Italy",2008,1,1
"Switzerland","Russia",2021,1,1
"Israel","India",2023,1,1
"Turkey","Russia",2017,1,1
"Pakistan","Belgium",2021,1,1
"Indonesia","Netherlands",2017,1,1
"Botswana","Mexico",2006,1,1
"Philippines","South Korea",2012,1,1
"United States","Mali",2020,1,1
"Netherlands","Suriname",2009,1,1
"India","Belgium",2007,1,1
"Netherlands","Pakistan",2023,1,1
"United Arab Emirates","Pakistan",2022,1,1
"Finland","Sri Lanka",2022,1,1
"United States","India",2001,1,1
"Denmark","Portugal",2021,1,1
"Thailand","India",2013,1,1
"Sweden","India",2020,1,1
"Argentina","Netherlands",2003,1,1
"Liberia","Indonesia",2023,1,1
"Portugal","Singapore",2017,1,1
"Malaysia","France",2019,1,1
"Belarus","Germany",2024,1,1
"United States","Vietnam",2018,1,1
"Belgium","Turkey",2020,1,1
"Lebanon","France",2018,1,1
"Colombia","Ecuador",2018,1,1
"Canada","Sweden",2018,1,1
"Azerbaijan","Ukraine",2023,1,1
"Ireland","Romania",2022,1,1
"Russia","India",2020,1,1
"Nigeria","Greece",2021,1,1
"Ireland","United Kingdom",2011,1,1
"Azerbaijan","Netherlands",2015,1,1
"India","Italy",2018,1,1
"Canada","Malaysia",2020,1,1
"Russia","Turkey",2024,1,1
"Poland","United States",2010,1,1
"Kenya","Rwanda",2022,1,1
"Honduras","Mexico",2018,1,1
"India","Portugal",2022,1,1
"Venezuela","United States",2022,1,1
"Finland","Belgium",2022,1,1
"Slovakia","Austria",2019,1,1
"Brazil","Russia",2012,1,1
"Australia","Ireland",2024,1,1
"Singapore","Armenia",2024,1,1
"South Africa","Armenia",2024,1,1
"Sweden","Japan",2023,1,1
"India","Vietnam",2020,1,1
"Bangladesh","Japan",2021,1,1
"Uruguay","India",2017,1,1
"Sweden","Poland",2024,1,1
"Brazil","Japan",2019,1,1
"Netherlands","Isle of Man",2015,1,1
"Belgium","Rwanda",2009,1,1
"Bahrain","Austria",2011,1,1
"Romania","Netherlands",2012,1,1
"Hungary","Sweden",2021,1,1
"Algeria","Finland",2018,1,1
"Portugal","Italy",2008,1,1
"Congo - Democratic Republic of the Congo","Haiti",2024,1,1
"Spain","Norway",2023,1,1
"Norway","Italy",2024,1,1
"Belarus","Argentina",2021,1,1
"Azerbaijan","United Arab Emirates",2023,1,1
"Singapore","Netherlands",2011,1,1
"France","Iran",2014,1,1
"Colombia","Germany",2024,1,1
"India","Benin",2019,1,1
"Benin","India",2020,1,1
"Nepal","Singapore",2022,1,1
"Indonesia","Hungary",2021,1,1
"Canada","Denmark",2020,1,1
"Bangladesh","Russia",2020,1,1
"United States","Mexico",1989,1,1
"China","Japan",2020,1,1
"Burkina Faso","United States",2024,1,1
"Australia","Indonesia",2018,1,1
"Denmark","Italy",2024,1,1
"Vietnam","Netherlands",2006,1,1
"Vietnam","Thailand",2024,1,1
"Ethiopia","Canada",2023,1,1
"Argentina","Denmark",2023,1,1
"Bolivia","United States",2023,1,1
"United Kingdom","Canada",2006,1,1
"Germany","Colombia",2019,1,1
"Turkey","Sweden",2017,1,1
"United States","Indonesia",2018,1,1
"Indonesia","China",2019,1,1
"Israel","Germany",2015,1,1
"Malaysia","Singapore",2008,1,1
"Netherlands","Russia",2011,1,1
"Belgium","Luxembourg",2015,1,1
"Syria","Iraq",2021,1,1
"Liechtenstein","Netherlands",2023,1,1
"India","Netherlands",2009,1,1
"Austria","United States",2019,1,1
"China","South Korea",2016,1,1
"China","Germany",2015,1,1
"Thailand","Nepal",2023,1,1
"Germany","United States",2008,1,1
"Austria","Slovenia",2012,1,1
"Macedonia","Bosnia and Herzegovina",2021,1,1
"Netherlands","South Korea",2016,1,1
"Australia","India",2017,1,1
"Hong Kong","Sweden",2024,1,1
"Gambia","United States",2020,1,1
"Peru","Costa Rica",2023,1,1
"Australia","Bangladesh",2022,1,1
"Netherlands","New Zealand",2023,1,1
"Switzerland","Canada",2012,1,1
"United Kingdom","Ireland",2016,1,1
"Japan","Finland",2021,1,1
"United Kingdom","Australia",2014,1,1
"Australia","Ghana",2022,1,1
"Sri Lanka","Canada",2019,1,1
"India","Lithuania",2019,1,1
"Luxembourg","India",2022,1,1
"Peru","Poland",2019,1,1
"United Kingdom","Albania",2011,1,1
"Azerbaijan","Czech Republic",2024,1,1
"Lithuania","United States",2021,1,1
"Bonaire, Saint Eustatius And Saba","Netherlands",2013,1,1
"Brazil","Netherlands",2021,1,1
"Iran","Finland",2023,1,1
"Philippines","Cyprus",2020,1,1
"India","Spain",2016,1,1
"Italy","Czech Republic",2022,1,1
"United States","Cameroon",2022,1,1
"Kenya","United States",2016,1,1
"Macedonia","United States",2016,1,1
"France","Norway",2019,1,1
"Switzerland","Taiwan",2022,1,1
"Japan","Greece",2024,1,1
"Jordan","Lebanon",2018,1,1
"Ireland","Morocco",2024,1,1
"Netherlands","Aruba",1995,1,1
"Aruba","Netherlands",1996,1,1
"Denmark","India",2021,1,1
"Tunisia","France",2011,1,1
"Bermuda","Norway",2023,1,1
"Thailand","Singapore",2019,1,1
"Portugal","Belgium",2020,1,1
"Algeria","Morocco",2024,1,1
"United Kingdom","Estonia",2017,1,1
"Nigeria","Estonia",2021,1,1
"Turkey","France",2020,1,1
"Israel","United Kingdom",2016,1,1
"South Korea","India",2016,1,1
"Lebanon","Saudi Arabia",2024,1,1
"Spain","Iran",2021,1,1
"Serbia","Saudi Arabia",2022,1,1
"Russia","Belarus",2022,1,1
"Egypt","Colombia",2022,1,1
"United States","Puerto Rico",2016,1,1
"Indonesia","Russia",2021,1,1
"Netherlands","South Africa",2007,1,1
"Portugal","Switzerland",2024,1,1
"Finland","Oman",2023,1,1
"Ethiopia","Congo - Republic of the Congo",2020,1,1
"Iran","Denmark",2023,1,1
"Netherlands","Sri Lanka",2006,1,1
"Poland","Iceland",2018,1,1
"Liechtenstein","Germany",2023,1,1
"Russia","Jordan",2022,1,1
"Belarus","United States",2021,1,1
"Belarus","Netherlands",2014,1,1
"Italy","Slovenia",2021,1,1
"Russia","South Korea",2017,1,1
"Netherlands","Bahrain",2006,1,1
"Germany","Bulgaria",2024,1,1
"Sudan","Egypt",2016,1,1
"United States","Reunion",2021,1,1
"Czech Republic","Croatia",2020,1,1
"Switzerland","Denmark",2021,1,1
"Portugal","India",2024,1,1
"Mexico","Canada",2019,1,1
"Canada","South Africa",2017,1,1
"South Africa","Canada",2020,1,1
"India","Uganda",2014,1,1
"Russia","Malta",2021,1,1
"Spain","Uruguay",2023,1,1
"Austria","Australia",2002,1,1
"Cyprus","Russia",2019,1,1
"Bangladesh","Switzerland",2021,1,1
"Brazil","Argentina",2020,1,1
"Netherlands","Uganda",2010,1,1
"Iran","Hungary",2021,1,1
"Switzerland","Singapore",2019,1,1
"Jordan","Iraq",2023,1,1
"Germany","South Africa",2022,1,1
"France","Lebanon",2023,1,1
"France","Portugal",2017,1,1
"Croatia","Macao",2015,1,1
"Mexico","Armenia",2013,1,1
"Ghana","Bangladesh",2024,1,1
"Morocco","France",2015,1,1
"Belgium","Luxembourg",2023,1,1
"Australia","Norway",2024,1,1
"Canada","Uganda",2021,1,1
"Thailand","Portugal",2024,1,1
"South Korea","Hong Kong",2016,1,1
"Ukraine","Netherlands",2024,1,1
"United States","Netherlands",1994,1,1
"Venezuela","Colombia",2015,1,1
"Poland","Ireland",2015,1,1
"Estonia","Germany",2024,1,1
"Poland","Belgium",2021,1,1
"Germany","Croatia",2017,1,1
"Egypt","France",2021,1,1
"India","Brazil",2024,1,1
"Poland","Portugal",2015,1,1
"Japan","Germany",2020,1,1
"Morocco","Saudi Arabia",2024,1,1
"Lebanon","Netherlands",1996,1,1
"Spain","Egypt",2019,1,1
"Turkey","Belgium",2021,1,1
"Netherlands","Poland",2010,1,1
"Germany","Tunisia",2020,1,1
"Ivory Coast","France",2022,1,1
"Peru","Brazil",2021,1,1
"Sudan","Sweden",2024,1,1
"Brazil","Denmark",2022,1,1
"Mexico","India",2017,1,1
"Israel","Slovenia",2017,1,1
"Switzerland","Bahrain",2014,1,1
"Kazakhstan","Japan",2022,1,1
"Ireland","Switzerland",2024,1,1
"Slovakia","Ghana",2016,1,1
"India","Tunisia",2020,1,1
"India","Liberia",2024,1,1
"Russia","Slovakia",2018,1,1
"Slovakia","Spain",2024,1,1
"Ukraine","United States",2014,1,1
"Argentina","Poland",2020,1,1
"Poland","Spain",2021,1,1
"Greece","Luxembourg",2022,1,1
"Argentina","Ireland",2023,1,1
"Hong Kong","United Arab Emirates",2020,1,1
"Italy","Luxembourg",2022,1,1
"Egypt","Netherlands",2019,1,1
"France","Switzerland",2007,1,1
"China","Germany",2014,1,1
"Iran","Kuwait",2020,1,1
"Spain","Australia",2020,1,1
"Belgium","Lebanon",2012,1,1
"Argentina","United Kingdom",2012,1,1
"Malta","United States",2024,1,1
"South Korea","Australia",2024,1,1
"Iran","Turkey",2015,1,1
"Eritrea","Netherlands",2021,1,1
"United States","Peru",2019,1,1
"France","Spain",2013,1,1
"Malaysia","United Kingdom",2021,1,1
"Japan","Poland",2022,1,1
"Jamaica","India",2021,1,1
"United States","Peru",2022,1,1
"China","Armenia",2024,1,1
"Curacao","Netherlands",2012,1,1
"Malawi","United States",2024,1,1
"Germany","Malaysia",2020,1,1
"Egypt","South Africa",2023,1,1
"Spain","Austria",2024,1,1
"Australia","Egypt",2022,1,1
"Greece","France",2018,1,1
"Nigeria","Portugal",2020,1,1
"Australia","Singapore",2018,1,1
"Italy","France",2011,1,1
"Brazil","Sweden",2023,1,1
"Tunisia","Luxembourg",2022,1,1
"Egypt","Spain",2017,1,1
"Curacao","United Arab Emirates",2016,1,1
"Chad","Sudan",2015,1,1
"Syria","United Kingdom",2021,1,1
"United States","Bangladesh",2018,1,1
"Austria","United Kingdom",2016,1,1
"United Kingdom","Austria",2017,1,1
"Mexico","United Arab Emirates",2018,1,1
"Hong Kong","Israel",2024,1,1
"Netherlands","United Arab Emirates",2011,1,1
"Belgium","Tonga",2016,1,1
"United States","Bulgaria",2023,1,1
"India","Slovenia",2021,1,1
"Switzerland","United States",2006,1,1
"Brazil","Belgium",2019,1,1
"Ireland","United States",2017,1,1
"Spain","Slovakia",2018,1,1
"Ukraine","United States",2015,1,1
"Germany","Colombia",2017,1,1
"China","India",2019,1,1
"Belgium","Italy",2011,1,1
"Sweden","Belgium",2022,1,1
"United Kingdom","Bermuda",2002,1,1
"Israel","Spain",2023,1,1
"Spain","Luxembourg",2018,1,1
"Netherlands","Iran",2016,1,1
"Azerbaijan","France",2024,1,1
"Singapore","Malaysia",2020,1,1
"Netherlands","Bosnia and Herzegovina",2009,1,1
"Australia","Lebanon",2024,1,1
"Algeria","Switzerland",2019,1,1
"Mexico","China",2024,1,1
"Canada","Switzerland",2018,1,1
"Bulgaria","Ukraine",2021,1,1
"Netherlands","Benin",2019,1,1
"United Arab Emirates","Uganda",2023,1,1
"United States","Botswana",2018,1,1
"Botswana","United States",2020,1,1
"Finland","Iran",2020,1,1
"Italy","Kosovo",2021,1,1
"New Zealand","Venezuela",2015,1,1
"Sweden","Serbia",2022,1,1
"Peru","Netherlands",2014,1,1
"Moldova","Germany",2024,1,1
"United States","Israel",2012,1,1
"Australia","Jamaica",2012,1,1
"Taiwan","United Kingdom",2018,1,1
"Iran","Switzerland",2024,1,1
"Nigeria","United States",2017,1,1
"Denmark","Japan",2020,1,1
"Russia","Taiwan",2021,1,1
"Japan","Poland",2019,1,1
"Cuba","United Kingdom",2023,1,1
"Netherlands","Canada",2014,1,1
"Palestine","Israel",2014,1,1
"Spain","Egypt",2022,1,1
"Australia","Israel",2023,1,1
"Sudan","Senegal",2021,1,1
"Costa Rica","Canada",2020,1,1
"Serbia","Slovenia",2024,1,1
"Canada","Tunisia",2020,1,1
"Netherlands","Kenya",2022,1,1
"Pakistan","Qatar",2023,1,1
"United States","Kyrgyzstan",2022,1,1
"Estonia","Sweden",2021,1,1
"China","Switzerland",2019,1,1
"Belgium","United Kingdom",2013,1,1
"South Africa","New Zealand",2022,1,1
"Armenia","Germany",2018,1,1
"China","India",2022,1,1
"South Korea","United States",2014,1,1
"Germany","Czech Republic",2018,1,1
"Australia","United States",2025,1,1
"Slovenia","Portugal",2024,1,1
"Puerto Rico","France",2020,1,1
"France","Argentina",2023,1,1
"Italy","Finland",2018,1,1
"Greece","Netherlands",2024,1,1
"Spain","Nicaragua",2023,1,1
"Hungary","Jamaica",2024,1,1
"France","South Africa",2024,1,1
"United Kingdom","China",2014,1,1
"Spain","Peru",2022,1,1
"Jamaica","United Kingdom",2024,1,1
"Kazakhstan","United Kingdom",2019,1,1
"Canada","Bosnia and Herzegovina",2018,1,1
"Austria","Netherlands",2015,1,1
"Malta","United Arab Emirates",2020,1,1
"Canada","South Africa",2019,1,1
"Saudi Arabia","Australia",2021,1,1
"Indonesia","Netherlands",2019,1,1
"Estonia","Iran",2019,1,1
"Finland","India",2019,1,1
"Jordan","Spain",2023,1,1
"Netherlands","Andorra",2015,1,1
"Chile","Peru",2023,1,1
"Czech Republic","Canada",2009,1,1
"France","Israel",2018,1,1
"Netherlands","Cyprus",2024,1,1
"Italy","United Kingdom",2009,1,1
"Bulgaria","France",2013,1,1
"Germany","Namibia",2021,1,1
"Spain","Romania",2016,1,1
"Canada","Costa Rica",2015,1,1
"Canada","Costa Rica",2018,1,1
"Israel","Taiwan",2021,1,1
"United Kingdom","Iran",2015,1,1
"Spain","Taiwan",2023,1,1
"Belgium","Germany",2016,1,1
"Guernsey","Netherlands",2023,1,1
"Germany","Greece",2019,1,1
"Malaysia","Saudi Arabia",2021,1,1
"Saudi Arabia","Malaysia",2021,1,1
"Poland","Belarus",2018,1,1
"Finland","Denmark",2019,1,1
"Croatia","United States",2023,1,1
"Gabon","Netherlands",2015,1,1
"Iran","Austria",2024,1,1
"Spain","Estonia",2023,1,1
"Singapore","Taiwan",2023,1,1
"Saudi Arabia","Mexico",2022,1,1
"Australia","United Kingdom",2010,1,1
"Saudi Arabia","South Korea",2021,1,1
"China","Czech Republic",2017,1,1
"Belgium","Luxembourg",2014,1,1
"Netherlands","Cameroon",2014,1,1
"Iran","Qatar",2023,1,1
"Sweden","France",2018,1,1
"China","Belgium",2019,1,1
"Israel","Canada",2011,1,1
"Zambia","United States",2021,1,1
"Tunisia","India",2021,1,1
"Nigeria","Hong Kong",2024,1,1
"Uruguay","China",2023,1,1
"Canada","Belgium",2021,1,1
"Austria","United States",2017,1,1
"Jordan","Lebanon",2023,1,1
"Croatia","France",2023,1,1
"Jordan","United Kingdom",2024,1,1
"Nigeria","Paraguay",2020,1,1
"Italy","Portugal",2024,1,1
"Bulgaria","China",2018,1,1
"Azerbaijan","Germany",2022,1,1
"Saudi Arabia","Turkmenistan",2024,1,1
"Ukraine","Mexico",2020,1,1
"Spain","Pakistan",2021,1,1
"United Kingdom","Luxembourg",2019,1,1
"United States","Guyana",2024,1,1
"Switzerland","Georgia",2018,1,1
"Lebanon","Netherlands",2024,1,1
"Australia","Israel",2018,1,1
"Greece","Qatar",2021,1,1
"Cameroon","United States",2024,1,1
"Montenegro","United Kingdom",2024,1,1
"Spain","Serbia",2020,1,1
"Germany","Austria",2009,1,1
"Malaysia","Canada",2012,1,1
"Greece","Austria",2022,1,1
"Netherlands","Nepal",2021,1,1
"Lebanon","Australia",2021,1,1
"Hong Kong","France",2018,1,1
"Rwanda","United States",2023,1,1
"United States","Chile",2021,1,1
"Ireland","Australia",2020,1,1
"Hungary","Austria",2023,1,1
"Czech Republic","Finland",2021,1,1
"India","Israel",2019,1,1
"Mexico","India",2022,1,1
"Malaysia","Indonesia",2023,1,1
"Ukraine","Finland",2024,1,1
"France","Romania",2022,1,1
"Argentina","Netherlands",2016,1,1
"Spain","Portugal",2019,1,1
"Zambia","Italy",2024,1,1
"Venezuela","Bolivia",2012,1,1
"Belarus","Georgia",2015,1,1
"Mauritius","South Africa",2016,1,1
"Algeria","Tunisia",2020,1,1
"United Kingdom","Iran",2018,1,1
"Armenia","United Arab Emirates",2021,1,1
"Germany","Lebanon",2020,1,1
"Algeria","United Kingdom",2022,1,1
"Nepal","France",2023,1,1
"Hong Kong","France",2023,1,1
"Pakistan","Qatar",2018,1,1
"Mexico","Brazil",2023,1,1
"Romania","India",2022,1,1
"El Salvador","Brazil",2018,1,1
"Philippines","Papua New Guinea",2020,1,1
"Singapore","China",2016,1,1
"Netherlands","Singapore",2013,1,1
"South Sudan","United Kingdom",2019,1,1
"Spain","Lithuania",2020,1,1
"United Kingdom","Sri Lanka",2018,1,1
"United Arab Emirates","Armenia",2023,1,1
"Venezuela","Thailand",2024,1,1
"Iran","South Korea",2023,1,1
"Morocco","Switzerland",2024,1,1
"China","Poland",2020,1,1
"El Salvador","Peru",2023,1,1
"Indonesia","India",2020,1,1
"Denmark","Netherlands",2023,1,1
"United Arab Emirates","Morocco",2019,1,1
"Venezuela","Spain",2023,1,1
"China","Belgium",2021,1,1
"Finland","Australia",2022,1,1
"Sweden","Poland",2023,1,1
"Germany","Belgium",2012,1,1
"Japan","Italy",2024,1,1
"Netherlands","Aruba",2019,1,1
"Afghanistan","Yemen",2020,1,1
"Lebanon","Spain",2024,1,1
"New Zealand","United Kingdom",2021,1,1
"Canada","Poland",2021,1,1
"Hong Kong","Indonesia",2020,1,1
"United States","Argentina",2025,1,1
"Bangladesh","India",2008,1,1
"China","Thailand",2003,1,1
"United Kingdom","Portugal",2012,1,1
"Spain","United Kingdom",2014,1,1
"United States","France",1992,1,1
"Peru","Spain",2020,1,1
"Hungary","Italy",2018,1,1
"India","Colombia",2021,1,1
"Pakistan","South Korea",2021,1,1
"Germany","India",2014,1,1
"France","Algeria",2023,1,1
"Malaysia","Finland",2023,1,1
"Netherlands","Austria",2014,1,1
"Uzbekistan","South Korea",2018,1,1
"Philippines","Thailand",2019,1,1
"Netherlands","Austria",2015,1,1
"India","Finland",2014,1,1
"Sri Lanka","United Kingdom",2021,1,1
"Qatar","United Arab Emirates",2018,1,1
"Finland","Netherlands",2020,1,1
"Switzerland","United Kingdom",2007,1,1
"Luxembourg","Russia",2019,1,1
"Lithuania","Egypt",2024,1,1
"Taiwan","Thailand",2022,1,1
"Tunisia","Sweden",2022,1,1
"United States","Taiwan",2013,1,1
"Thailand","Armenia",2023,1,1
"China","Costa Rica",2018,1,1
"Belgium","Greece",2021,1,1
"United Kingdom","Saudi Arabia",2018,1,1
"Bolivia","United States",2024,1,1
"Pakistan","South Africa",2022,1,1
"Bulgaria","Netherlands",2022,1,1
"Germany","Australia",2019,1,1
"Mali","United States",2017,1,1
